id,created_at,text
1584611944706625536,Mon Oct 24 18:25:02 +0000 2022,RT @Angry_Staffer: Garland says an FBI double agent fooled two Peoples’ Republic of China (PRC) intelligence officers who were trying to sh…
1584611943687819264,Mon Oct 24 18:25:02 +0000 2022,"RT @garyblack00: IMO, @elonmusk likely selling TSLA shares today. 
1/ China price cuts were expected (came a week early)
2/ WS hasn’t cut 4…"
1584611943637143552,Mon Oct 24 18:25:02 +0000 2022,RT @ahern_brendan: If China is an issue then shouldn't these stocks be down the amount of their China revenue? https://t.co/2OeuUrj9uw
1584611942131412993,Mon Oct 24 18:25:02 +0000 2022,"RT @FerroTV: “China growth data surprised positively over the weekend, but their equity market is selling off strongly today. We believe th…"
1584611942089433088,Mon Oct 24 18:25:02 +0000 2022,RT @caslernoel: I'm just replacing the word China with Trump in my mind and this press conference is lit. 🔥
1584611941322227712,Mon Oct 24 18:25:02 +0000 2022,@TheEconomist Our prices here in rural ky jumping too high selling to china ..right on mitch
1584611940789542912,Mon Oct 24 18:25:02 +0000 2022,RT @Chellaney: Modi has set a good example by celebrating every Diwali with soldiers on the front lines. But since the military confrontati…
1584611940759789568,Mon Oct 24 18:25:02 +0000 2022,Unfortunately China already owns the US just in goods. If China wants to cripple America all it has to do is shutdo… https://t.co/yKoPWVdNJI
1584611940596617216,Mon Oct 24 18:25:01 +0000 2022,"RT @sandibachom: Sending up a prayer,
hoping Trump was selling technology to China"
1584611940261040129,Mon Oct 24 18:25:01 +0000 2022,"@BBCWorld I support china for decisions they made to let xi continue being a president, western they are not happy,… https://t.co/mrcsggGMs1"
1584611939535454208,Mon Oct 24 18:25:01 +0000 2022,When will we get real representation that works for America Regardless of their party affiliation? We never will un… https://t.co/O0jGjFPo92
1584611938947846144,Mon Oct 24 18:25:01 +0000 2022,RT @caslernoel: I'm just replacing the word China with Trump in my mind and this press conference is lit. 🔥
1584611937370877952,Mon Oct 24 18:25:01 +0000 2022,"@zerohedge #China

The failed #CIA coup against #XiJinping has shocked Chinese Communist Party to its core

Xi Jinp… https://t.co/x6RXuF6Jr8"
1584611934707466240,Mon Oct 24 18:25:00 +0000 2022,Anyone who knows anything about China understands that even private companies are legally beholden to the Chinese g… https://t.co/F0i981WAIu
1584611934464540672,Mon Oct 24 18:25:00 +0000 2022,RT @BlackKnight10k: If you stole highly sensitive classified documents about China and today you see Chinese spies getting busted for espio…
1584611933549957140,Mon Oct 24 18:25:00 +0000 2022,"Only 30 years apart! Shenzhen from above in 1990 and 2020. Images from @googleearth 
#Shenzhen #China #ThenandNow… https://t.co/zyOWxGYq0P"
1584611933373796363,Mon Oct 24 18:25:00 +0000 2022,The China Threat — FBI https://t.co/Hdn3Xc99Oi
1584611932858093568,Mon Oct 24 18:25:00 +0000 2022,"RT @PaulAqua2: Urgent
Rishi Sunak’s Family Runs A China-Linked, World Economic Forum Partner Company Peddling Digital ID &amp; Social Credit Sc…"
1584611932568363008,Mon Oct 24 18:25:00 +0000 2022,@StevenBeschloss You mean Hillary Clinton's email servers or Hunter and Joe's China business dealings.  Does collec… https://t.co/Kvd87Y6HlO
1584611932119916546,Mon Oct 24 18:24:59 +0000 2022,Wow AG #MerrickGarland announces capturing a #CCP fascist #China spy at .@FBI two weeks before the midterm election… https://t.co/syfLmC1w0c
1584611932057001984,Mon Oct 24 18:24:59 +0000 2022,RT @cnnbrk: The US Justice Department has unsealed charges against two alleged Chinese spies who are accused of interfering with a federal…
1584611931876634624,Mon Oct 24 18:24:59 +0000 2022,"RT @MSNBC: AG Garland: ""The government of China sought to interfere with the rights and freedoms of individuals in the United States and to…"
1584611931184189440,Mon Oct 24 18:24:59 +0000 2022,"RT @PaulAqua2: Urgent
Rishi Sunak’s Family Runs A China-Linked, World Economic Forum Partner Company Peddling Digital ID &amp; Social Credit Sc…"
1584611929448144896,Mon Oct 24 18:24:59 +0000 2022,@Vengeancewood Russell Westbrook should be in China
1584611929104191489,Mon Oct 24 18:24:59 +0000 2022,"RT @susan52132641: @thejackhopkins On and on about the dangers coming from China, and not one word of the danger to our democracy coming fr…"
1584611928865148928,Mon Oct 24 18:24:59 +0000 2022,"RT @duty2warn: AG Garland's press conference, still ongoing, announces charges against 13 PRC officials (People's Republic of China), 10 of…"
1584611927380361216,Mon Oct 24 18:24:58 +0000 2022,"RT @DashDobrofsky: I am by no means mitigating the importance of this investigation, but the irony is astounding: Two alleged Chinese spies…"
1584611927128297473,Mon Oct 24 18:24:58 +0000 2022,@EBOlady @MaxBoot So democracy dies when voters don’t vote your way? You should move to China/NK
1584611926851473408,Mon Oct 24 18:24:58 +0000 2022,"RT @DashDobrofsky: Merrick Garland’s DOJ went public about a case of “Espionage, bribery &amp; Obstruction of Justice” that threatens the “righ…"
1584611926126260225,Mon Oct 24 18:24:58 +0000 2022,RT @Cernovich: Garland filed huge case against Communist China spies. I’m really confused. This is a REAL criminal case involving attacks o…
1584611925899759616,Mon Oct 24 18:24:58 +0000 2022,@lauferlaw @TheJusticeDept @Huawei But didn't the DOJ find files on China in Trumps search warrant🤔
1584611923571707932,Mon Oct 24 18:24:57 +0000 2022,Chinese President Xi ‘personally’ vetted selection of top Communist Party team. This is the first time that Chinese… https://t.co/pdzacqntJY
1584611922954964992,Mon Oct 24 18:24:57 +0000 2022,"RT @NaomiLevinNY: How can you negotiate with a war criminal ?

Republicans get the danger of this kind of appeasement strategy. We cannot a…"
1584611922585915392,Mon Oct 24 18:24:57 +0000 2022,"RT @DashDobrofsky: Merrick Garland’s DOJ went public about a case of “Espionage, bribery &amp; Obstruction of Justice” that threatens the “righ…"
1584611922095538176,Mon Oct 24 18:24:57 +0000 2022,"RT @duty2warn: AG Garland's press conference, still ongoing, announces charges against 13 PRC officials (People's Republic of China), 10 of…"
1584611922049404928,Mon Oct 24 18:24:57 +0000 2022,@GanjaDon541 @arrobo_B @nytimes I think you do fear a more assertive china. Many in the west do.
1584611921935839232,Mon Oct 24 18:24:57 +0000 2022,@beabetterangel @next_china The women in the CCP are just as sly and deceiving as the men. I don't think you unders… https://t.co/4lCBTX7xbQ
1584611921885818880,Mon Oct 24 18:24:57 +0000 2022,"@vandanapopli Thank you, Why are we not comparing with China ? Any particular reason ?"
1584611920698802176,Mon Oct 24 18:24:57 +0000 2022,"China is an aggressive predatory and militaristic nation now. America cannot back down and just be passive, or China will overcome the US!"
1584611919738339328,Mon Oct 24 18:24:56 +0000 2022,"RT @Chukwuamaka_: 'Made in China' stickers are made in Korea.

Really?"
1584611919675424768,Mon Oct 24 18:24:56 +0000 2022,"RT @emptywheel: So 3 charges (so far): The EDNY charge against two guys bribing for prosecution info, a NJ case against other spies, and an…"
1584611917670260736,Mon Oct 24 18:24:56 +0000 2022,"RT @duty2warn: AG Garland's press conference, still ongoing, announces charges against 13 PRC officials (People's Republic of China), 10 of…"
1584611916839731200,Mon Oct 24 18:24:56 +0000 2022,@Pineapplelord9K @metaljunkie97 @PJ_in_Ga @mixtorious1 @GovRonDeSantis Biden is pretty tyrannical. He tried MANDATI… https://t.co/v6xqmGTsPI
1584611916554829824,Mon Oct 24 18:24:56 +0000 2022,"RT @TPostMillennial: AG Merrick Garland: ""The DOJ has taken several actions to disrupt criminal activity by individuals working on behalf o…"
1584611916189614080,Mon Oct 24 18:24:56 +0000 2022,"@SlicinHammer @MostHiPlantLife @Social155 @RexDoctor Yes, every comment you don't agree with is a bot from China or… https://t.co/nyVws8OwEt"
1584611915829243906,Mon Oct 24 18:24:56 +0000 2022,RT @shaneharris: Developing: Two alleged Chinese intelligence officers accused of trying to buy info about federal prosecution. https://t.c…
1584611914738708480,Mon Oct 24 18:24:55 +0000 2022,@AudreyC48737690 Oh I'm sure it's happened before... just not the colluding with China to make it happen
1584611913962397696,Mon Oct 24 18:24:55 +0000 2022,"RT @bennyjohnson: BREAKING: AG Garland: ""The DOJ has taken several actions to disrupt criminal activity by individuals working on behalf of…"
1584611913920614417,Mon Oct 24 18:24:55 +0000 2022,Warning: China’s invasion of Taiwan could start with a virus. Like Covid they sent the world!  @JoeBiden⁩ ⁦@OANN⁩ ⁦… https://t.co/ibOnVDpfAl
1584611913219989505,Mon Oct 24 18:24:55 +0000 2022,"Today, I paid a courtesy call on @AmbassadorCuba H.E. Abelenda. We are confident that our joint efforts in promotin… https://t.co/sXhU3eLdqi"
1584611911299395585,Mon Oct 24 18:24:54 +0000 2022,"RT @DashDobrofsky: Merrick Garland’s DOJ went public about a case of “Espionage, bribery &amp; Obstruction of Justice” that threatens the “righ…"
1584611911140012032,Mon Oct 24 18:24:54 +0000 2022,"RT @Rainbird42true: @softtail65 China IT &amp; tech spies got caught. This is actually a big deal, but media is stuck in midtetm mania
MSNBC di…"
1584611909198032896,Mon Oct 24 18:24:54 +0000 2022,"Destroy our men and have no one to fight War against Invading Armies from China, North Korea or Latin America invas… https://t.co/DsTry9Zmhz"
1584611909008953345,Mon Oct 24 18:24:54 +0000 2022,"RT @DendeaTaye: His Excellency Xi Jinping, the president of China, our friend in need, Congratulations! We, Ethiopians thank you for what y…"
1584611908719677462,Mon Oct 24 18:24:54 +0000 2022,"2/3 China Variables: China Auto Sales, SFE Inventory, China Refined Copper Imports, China Grid Infrastructure inves… https://t.co/8CtzVsSH9V"
1584611908711174144,Mon Oct 24 18:24:54 +0000 2022,"RT @TPostMillennial: AG Merrick Garland: ""The DOJ has taken several actions to disrupt criminal activity by individuals working on behalf o…"
1584611908698902528,Mon Oct 24 18:24:54 +0000 2022,"RT @DendeaTaye: His Excellency Xi Jinping, the president of China, our friend in need, Congratulations! We, Ethiopians thank you for what y…"
1584611908468215808,Mon Oct 24 18:24:54 +0000 2022,"RT @MichaelArt123: DOJ charges China with attempting to steal U.S. technology, and mounting a long term effort to obstruct The US Judicial…"
1584611908447268866,Mon Oct 24 18:24:54 +0000 2022,"RT @DashDobrofsky: Merrick Garland’s DOJ went public about a case of “Espionage, bribery &amp; Obstruction of Justice” that threatens the “righ…"
1584611907863879680,Mon Oct 24 18:24:54 +0000 2022,RT @shaneharris: Developing: Two alleged Chinese intelligence officers accused of trying to buy info about federal prosecution. https://t.c…
1584611907356721153,Mon Oct 24 18:24:54 +0000 2022,"RT @DashDobrofsky: Donald Trump stole nuclear documents from a NATO ally, he stole documents containing Iran's missile programs, and he sto…"
1584611906782105601,Mon Oct 24 18:24:53 +0000 2022,RT @McNado1: A quick🧵. I remember when COVID hit. My stepmom forwarded me a warning about a new virus in China. Two months later my Wildern…
1584611906341724160,Mon Oct 24 18:24:53 +0000 2022,"RT @scienceisstrat1: Overall, EV sales are forecast to hit 6 million in China in 2022, double the 2.99m sold in 2021. The Chinese market is…"
1584611903262715904,Mon Oct 24 18:24:53 +0000 2022,@BlackKnight10k I'm thinking on the same lines that this is a prelude to finding out Trump's involvement with china
1584611902277431297,Mon Oct 24 18:24:52 +0000 2022,"@blender7777 @Justyourav_2000 @CTVNews Ask yourself why China, Japan, Taiwan have lower inflation? It’s Covid, my f… https://t.co/pyepo9LCUB"
1584611901908357120,Mon Oct 24 18:24:52 +0000 2022,"@AMFChina Important caveat from Wray: ""we are targeting China and the CCP.  Not Chinese citizens and certainly not Chinese Americans"""
1584611900809175041,Mon Oct 24 18:24:52 +0000 2022,RT @shanvav: BREAKING: Garland is now detailing cases against 2 suspected Chinese intel officers trying to obstruct a probe into a global t…
1584611899672756224,Mon Oct 24 18:24:52 +0000 2022,@B52Malmet Just a diversion for Garland..China could care less about what the hell USA knows on them. Real Crimes a… https://t.co/jthE9plDlz
1584611898703876096,Mon Oct 24 18:24:51 +0000 2022,Xi’s consolidation of power points to a new era in China in which national security and ideology would be a higher… https://t.co/OVnzTeC88P
1584611898561294337,Mon Oct 24 18:24:51 +0000 2022,@donnajeanie @Pin_Eagle24 @KenDilanianNBC This one maybe? https://t.co/esZItpKlxf
1584611898343194624,Mon Oct 24 18:24:51 +0000 2022,@Noahpinion I think the assumption that China would have a higher chance of winning if it took out US bases first i… https://t.co/2lK1qP5Id1
1584611897428492288,Mon Oct 24 18:24:51 +0000 2022,@eliant_capital OH and not to mention the 6 destroyers I saw off the coast of Hawai'i this past weekend. Wonder wha… https://t.co/gaxr3NtWoH
